r_upleg_JNTa_x,r_upleg_JNTa_y,r_upleg_JNTa_z,r_upleg_JNTw_x,r_upleg_JNTw_y,r_upleg_JNTw_z,label,
-10.86426,2.230835,13.15918,-22.15454,16.78513,-13.529,reverse,
7.928467,-20.78552,-26.63269,-5.870361,8.225098,-10.17341,reverse,
1.00708,-7.049561,-6.332397,-0.8587646,6.253662,-10.11013,reverse,
0.4364014,-7.476807,11.15723,2.816162,6.44928,-13.39456,reverse,
2.542114,-6.738281,6.436157,5.183716,6.119995,-14.81615,reverse,
1.385498,-3.35083,-5.450439,9.069519,8.045349,-15.79507,reverse,
-0.7202148,-7.092285,-3.964233,16.46729,11.84021,-19.4536,reverse,
-6.332397,-25.28687,13.12561,30.9082,21.25946,-34.84718,reverse,
-1.379395,-44.38782,31.32629,50.68604,30.0174,3547.783,reverse,
16.87317,48.48022,-41.06445,-3577.701,11.03577,-20.91644,reverse,
8.169556,-3.170776,-12.08496,23.3234,9.500885,-17.11365,reverse,
3.448486,-8.294678,-0.8666992,24.9297,8.782196,-16.66534,reverse,
4.870605,7.797241,-8.312988,19.1658,5.456543,-9.545593,reverse,
1.376343,-0.3601074,-2.056885,18.47449,4.960785,-8.388062,reverse,
3.219604,3.817749,-4.577637,16.18868,4.985504,-4.312744,reverse,
1.831055,-4.949951,-1.135254,17.44144,4.99176,-4.593201,reverse,
26.08643,-50.45166,-5.740356,32.00936,15.42831,0.8145142,reverse,
9.484863,-19.6228,-5.987549,35.47613,16.48331,2.595215,reverse,
-28.95813,71.21582,8.670044,10.56665,6.777496,5.101318,reverse,
-0.8056641,2.087402,-0.4089355,9.549026,6.051941,4.889526,reverse,
2.651978,-3.118896,2.615356,5.889797,2.639618,4.837341,reverse,
5.557251,-10.40039,-0.6744385,6.918049,2.957764,5.606689,reverse,
-0.4608154,1.931763,3.100586,4.352703,-1.384277,3.477478,reverse,
0.769043,1.919556,-0.3448486,4.337883,-1.334229,3.317261,reverse,
-7.180786,7.150269,6.713867,1.593666,-3.507385,1.902161,reverse,
25.39368,-48.13538,6.37207,3.238487,-6.840668,3.574829,reverse,
-7.36084,13.63525,-0.09765625,1.518097,-5.813599,5.7901,reverse,
-29.62646,56.21948,-7.525635,-0.5213547,-1.88324,4.006042,reverse,
-4.824829,14.95972,-0.8270264,-2.256184,-1.148224,4.277344,reverse,
-1.196289,3.826904,-0.1617432,-2.727184,-0.9712219,4.340515,reverse,
-4.046631,8.343506,-3.399658,-0.9305954,-3.408661,3.066711,reverse,
-3.005981,6.414795,-2.365112,0.4365158,-5.846252,2.420349,reverse,
-22.53113,24.16687,-12.08496,6.88242,-13.25867,-3.853149,reverse,
-16.98914,21.91162,-12.50305,12.53134,-20.69229,-9.521484,reverse,
1.858521,3.143311,-2.954102,11.92028,-18.4108,-9.821472,reverse,
