l_upleg_JNTa_x,l_upleg_JNTa_y,l_upleg_JNTa_z,l_upleg_JNTw_x,l_upleg_JNTw_y,l_upleg_JNTw_z,label,
4.977417,-0.1953125,7.565308,-14.45961,-13.45398,-16.16974,ankle,
-28.10974,-16.11633,23.20251,-8.901653,-9.990997,-8.595276,ankle,
-29.99878,-20.01953,-31.51855,-71.7079,-47.72903,-45.31219,ankle,
2.62146,5.773926,61.64856,0,0,0,ankle,
0.1586914,-19.56787,-69.99817,3514.699,-44.97177,-34.9353,ankle,
-9.680176,-4.351807,45.578,-66.20209,2.219849,-9.326477,ankle,
2.011108,-9.057617,0.1831055,-68.9325,6.299286,-6.996155,ankle,
8.868408,8.062744,8.126831,-52.70355,11.707,1.488037,ankle,
1.052856,-9.637451,-6.375122,-58.54584,13.28979,1.655884,ankle,
-2.410889,34.552,22.48535,0,0,0,ankle,
4.821777,-60.51636,1.397705,-96.6153,25.40848,7.10083,ankle,
35.6842,-178.0304,129.3152,-283.6606,104.5613,-24.2337,ankle,
-5.413818,124.4537,-107.1503,-108.4344,107.9881,-76.46851,ankle,
21.41418,60.54993,-2.67334,-64.99634,217.9305,-191.5903,ankle,
9.698486,17.21802,-27.06909,-23.74084,635.2821,-611.6928,ankle,
-66.20483,36.32507,6.17981,0,0,0,ankle,
75.87585,-8.334351,-33.54492,31.06659,407.121,-387.9231,ankle,
-6.576538,14.63013,-8.035278,33.54553,129.3295,-116.9536,ankle,
-8.331299,9.344482,-1.96228,25.72784,55.99487,-50.15579,ankle,
3.05481,-2.828979,36.54785,17.67883,76.22803,-69.38919,ankle,
-64.02283,-12.81128,6.994629,0,0,0,ankle,
77.05383,1.304626,32.73621,18.36487,-3490.643,-99.76166,ankle,
-104.007,-56.81458,52.81372,5.600586,38.10047,-39.29718,ankle,
-1.950073,15.04059,-21.20361,-0.03448486,10.39101,-12.2702,ankle,
-10.27832,-8.428955,13.14087,0.6686401,10.86681,-13.70575,ankle,
-21.26465,4.780579,5.691528,-14.37042,22.40579,-20.73273,ankle,
60.44617,44.11774,-83.17871,0,0,0,ankle,
-95.13855,-16.89148,98.49548,-42.09534,28.33676,-27.89139,ankle,
9.063721,91.4566,-53.31116,-83.15399,90.77412,-89.55902,ankle,
-7.116699,25.42877,-20.98389,23.8028,1527.912,-1512.212,ankle,
59.71375,29.9942,-90.77148,90.21698,103.9198,3494.864,ankle,
33.47778,-129.9881,66.57104,0,0,0,ankle,
-61.21521,155.1437,-189.1937,124.4595,29.64233,-38.66791,ankle,
-22.13745,-43.77289,-81.98853,126.0861,4.428101,-32.08252,ankle,
38.8855,-75.62866,145.5505,61.49048,-4.723969,-17.93427,ankle,
-23.48022,10.49805,-82.22046,142.6047,-16.30707,-18.54523,ankle,
15.92407,-72.85461,62.4939,131.6495,-13.62823,-15.77087,ankle,
52.02332,26.61438,145.3583,0,0,0,ankle,
-35.61401,-37.39929,-66.47644,100.34,14.62036,-3.7854,ankle,
4.547119,7.18689,60.52856,-3521.753,35.66772,12.32422,ankle,
-5.413818,2.294922,52.63062,56.97702,24.65424,10.45258,ankle,
