r_shoulder_JNTa_x,r_shoulder_JNTa_y,r_shoulder_JNTa_z,r_shoulder_JNTw_x,r_shoulder_JNTw_y,r_shoulder_JNTw_z,
-5.340576,44.75098,-43.67065,-1.182632,2.812195,-1.4505,
-4.690552,20.25146,-19.98901,0.306263,3.059235,-0.3973389,
0.5371094,13.73901,-14.71252,1.298676,3.08075,-0.1550293,
-1.467896,2.46582,-4.391479,1.83876,3.614349,-0.06103516,
12.26501,8.990479,0.7843018,0,0,0,
-15.9668,-1.434326,-29.40369,3.872128,5.163116,-0.5184937,
-10.81848,32.01294,-91.745,9.794741,10.23727,0.09613037,
14.61792,-7.427979,37.21313,6.235638,6.279449,0.3897095,
4.147339,15.56091,4.678345,4.557533,3.554688,0.9484863,
3.503418,-0.7385254,4.263306,4.278393,3.277588,0.9014893,
4.516602,-37.97302,74.9939,0,0,0,
-2.609253,56.37207,-85.94055,4.914188,3.225403,0.9060669,
2.441406,-4.592896,11.61499,4.291229,2.65686,0.5871582,
-0.5065918,8.728027,0.9613037,4.350491,2.221985,-0.004882813,
-4.888916,16.0614,-16.80908,5.466175,2.162323,-1.270752,
5.563354,-76.5686,90.17334,0,0,0,
-21.50574,138.5986,-175.5371,10.5764,2.836761,-5.166016,
6.811523,-80.08423,119.0796,3.570499,0.5276489,-3.543091,
19.07959,-31.10352,35.12268,0.9523964,0.4110718,-0.8700562,
4.916382,5.123901,-4.299927,0.9628487,0.5647278,-0.8377075,
-9.301758,-32.53479,25.63477,0,0,0,
28.50037,32.09229,-7.91626,-0.3894997,1.114349,0.7455444,
9.750366,-0.5218506,7.150269,-0.9971809,1.37558,1.435547,
48.62061,22.36633,-1.989746,-3.740845,4.42749,7.69165,
21.43555,-5.36499,13.71765,-4.77026,5.225983,-3590.722,
-63.1134,-29.90112,13.60168,-3.302193,3.15979,5.628943,
-45.19348,-18.67065,-24.5636,0,0,0,
49.3866,18.88428,42.22107,-4.537964,4.509277,7.249685,
-12.28027,-2.255249,20.30334,-4.700718,4.95697,6.393907,
-23.04688,-5.944824,-33.92029,-2.311974,1.807861,1.986349,
16.59851,11.74011,16.29639,-3.963013,2.658234,2.894263,
49.38354,30.0415,24.29504,-7.038708,3.392334,3.643968,
-80.0415,-52.46582,-69.19556,0,0,0,
83.02917,42.11426,58.68835,-6.448822,2.673035,2.95788,
-19.06128,-13.74512,-44.29016,-3.533974,0.5679321,1.011829,
2.74353,-4.754639,-1.300049,-3.62318,0.4319763,0.817759,
-4.837036,-6.289673,-3.985596,-3.450546,0.1901245,0.4521298,
15.11841,0.1159668,42.04102,-4.952221,-0.1426697,0.366652,
-76.9928,-17.4408,-51.15356,0,0,0,
58.49609,11.00464,44.71741,-7.155352,-1.210175,0.7218504,
-42.6239,-5.657959,-38.18054,-4.543705,-1.062012,0.7060051,
-17.15698,-2.593994,-2.554321,-2.985554,-1.095886,0.7253027,
-8.065796,-1.712036,-3.158569,-1.956234,-1.079559,0.7040977,
-11.13586,2.484131,-13.76953,-1.219206,-1.168671,0.5050135,
20.48645,-3.52478,12.94556,0,0,0,
-25.03662,2.685547,-17.45911,-1.100245,-1.276398,0.5013466,
-3.363037,-1.733398,28.6499,-0.7112408,-2.319946,-0.007090569,
4.296875,-0.7873535,1.828003,-0.5515766,-2.071686,-0.05687714,
-54.03137,-0.07324219,13.4552,0.1344299,-6.11145,-0.6201601,
78.13416,-0.09155273,-26.474,0,0,0,
-55.64575,-5.328369,69.71741,-0.5268764,-4.167023,-1.280634,
38.84277,0.6164551,-41.79993,-0.3436184,-1.177063,-0.6247568,
-2.963257,1.16272,-7.296753,-0.6498051,-1.233521,-1.076167,
0.5645752,-0.3173828,0.9521484,-0.9237957,-1.317291,-1.328142,
8.795166,1.94397,-7.43103,-1.04784,-0.9335327,-1.272449,
10.40649,1.922607,-14.14185,0,0,0,
-4.135132,0.2502441,17.39807,-1.805315,-0.7543945,-1.776147,
14.00452,4.647827,9.579468,-3.766699,-0.4219055,-3.178647,
-9.869385,-4.898071,-26.97754,0,0,0,
36.90186,11.56311,-12.31689,-2.023611,0.2497864,-1.776161,
-22.05505,-8.444214,-0.5340576,0.08149147,0.322876,-0.01388311,
13.58032,0.6469727,-11.59058,0.1718235,0.6268311,-0.01711369,
-8.618164,-2.944946,17.58728,1.133041,0.6388855,0.6535339,
9.466553,-0.1434326,-3.417969,1.661892,0.9394836,0.9822512,
11.60889,-4.251099,-50.4425,7.241049,2.041321,2.391655,
-40.8844,3.573608,60.71472,0,0,0,
46.51184,-7.263184,-69.96765,8.307734,2.316132,2.863824,
-37.36572,-0.06713867,24.86267,6.731462,1.165009,0.7236886,
-1.40686,-1.202393,1.358032,6.587591,1.079559,0.6948638,
-7.739258,8.532715,43.74695,0,0,0,
8.700562,-19.77539,-80.75256,12.20718,1.441956,0.6812048,
-2.41394,-8.279419,-9.70459,13.92416,1.602478,1.761131,
-14.68811,5.438232,43.84766,9.186554,0.3405762,1.585062,
-19.37866,-27.95715,-10.06775,14.87289,-0.267334,2.80925,
-2.017212,5.401611,23.61145,10.03128,-0.4856873,1.645231,
29.79736,45.17212,33.0658,0,0,0,
-31.30188,-28.86658,-3.771973,5.299282,-0.7833862,0.5202055,
-14.151,-2.713013,-12.79297,5.310669,-1.503601,-0.3652954,
-1.290894,4.507446,-14.74609,4.233551,-1.690521,-0.905509,
-9.82666,-7.650757,2.72522,3.7356,-2.725677,-2.262795,
-41.96472,-27.29187,6.75354,4.233017,-6.317902,-5.97775,
98.53516,62.01477,21.83228,0,0,0,
-177.179,-110.907,2.633667,1.790028,-14.89441,-14.65996,
127.6611,93.77747,5.297852,-1.403618,-4.027863,-3.595719,
49.51782,17.12952,-7.931519,0,0,0,
-101.8738,-33.94775,25.25024,-4.277134,-7.833862,-6.741435,
73.25134,25.10986,-15.69214,-1.59338,-2.049103,-1.683363,
-16.44897,-6.689453,6.994629,-2.664871,-3.126221,-2.625335,
-12.18262,-8.062744,9.979248,-3.917522,-3.424683,-3.290245,
1.217651,-8.837891,7.421875,-4.661121,-3.879089,3595.998,
-17.57507,-42.57202,35.14709,-8.848152,-7.011108,-8.268433,
13.55896,-19.07349,-4.693604,-9.017792,-6.924133,-8.039246,
60.05249,94.07349,-64.40735,0,0,0,
-6.185913,-67.20581,35.73303,-4.937687,-4.213715,-3.579407,
13.35144,39.45313,-24.45374,-1.629295,-1.71051,-0.6011963,
9.405518,-3.015137,0.567627,-1.619511,-1.165009,0.6365967,
4.830933,5.627441,-2.651978,-1.170521,-0.2655029,1.738586,
17.61169,-7.525635,-0.9155273,-1.141129,0.4638672,4.918213,
