r_upleg_JNTa_x,r_upleg_JNTa_y,r_upleg_JNTa_z,r_upleg_JNTw_x,r_upleg_JNTw_y,r_upleg_JNTw_z,
20.05615,-254.4922,-9.875488,0,0,0,
43.67294,159.0027,-77.52686,184.1821,-77.86713,117.309,
11.63406,-141.9571,-36.68518,138.9474,-9.319305,38.57483,
-18.64319,-53.46375,30.79529,81.77856,1.148071,18.58154,
2.452087,-23.93341,37.78076,49.17114,-1.776123,-3576.924,
-12.89139,1.948547,-17.64832,60.69031,7.476654,10.95122,
-10.97717,14.39667,20.71838,39.7403,4.982758,7.062922,
49.21646,-90.90118,-2.905273,-3473.984,29.40994,26.63899,
-27.21329,38.54218,35.11047,70.00728,19.90479,18.45992,
-20.95261,74.49341,32.80029,22.11971,7.573242,7.396288,
2.359009,-6.652832,13.54675,23.27684,8.126068,8.051319,
-18.65692,28.52478,-35.98633,0,0,0,
16.42609,-52.92816,81.79932,46.87653,12.00867,11.89365,
-27.96631,12.64648,3.619385,43.33176,7.759247,4.944286,
-15.06729,19.76624,-19.08569,30.98764,3.907166,-0.9438419,
-4.458618,14.41803,-3.530884,22.69629,16.4325,6.937809,
-1.531982,3.858948,1.742554,21.47644,21.73538,11.16712,
-3.777313,-0.3112793,9.832764,24.74035,27.33475,15.90362,
-1.083374,25.11749,-19.87,10.61554,1.291199,-3.548021,
26.71585,-11.77063,-45.26978,2.250328,-0.6268311,-1.592274,
-2.996063,8.184814,-5.554199,2.091713,-1.662903,-2.450104,
13.73901,-18.98193,-3.683472,0,0,0,
-22.23892,15.00549,-14.74304,11.53507,-2.74353,-4.115019,
23.29178,-12.05444,-4.364014,-3.580399,-16.59836,-13.40014,
20.76492,8.746338,-29.81567,-29.07209,-58.00476,-43.27152,
-4.545593,-3.143311,17.25464,-24.58242,-29.18961,-19.61017,
-6.973267,-1.800537,12.73804,-21.80593,-5.401611,-2.267113,
5.573273,1.954651,-9.973145,-33.83356,-7.861481,-2.798939,
-10.81467,9.814453,1.379395,-36.97025,-5.575256,-3.833251,
-4.759979,2.418518,-1.138306,-40.29202,-4.79248,-4.281921,
-9.744263,21.04492,1.574707,-48.02858,-6.985168,-7.937202,
-2.877045,-2.639771,8.972168,-36.32246,-5.888367,-7.272809,
12.32376,-39.34631,18.11523,0,0,0,
-151.6823,403.9703,-43.02368,3281.977,-38.05557,3539.965,
151.6823,-403.9703,43.02368,0,0,0,
-49.58191,12.90436,51.63574,-159.118,-2.159119,-27.85034,
43.98575,-40.35797,-36.5448,-42.21741,5.636749,-10.47211,
-3.339386,-24.58344,0.9521484,-65.47394,12.06604,-19.58832,
1.493835,-104.4144,-7.675171,-125.8594,68.74069,-83.20435,
8.436584,119.5145,-10.1593,-22.00104,25.31799,-27.79083,
1.999664,-35.74219,-4.403687,-39.51538,63.34442,-67.87567,
14.27307,-80.34668,28.19214,-54.01337,271.7967,-286.1917,
-17.26761,153.0258,-21.99707,0,0,0,
25.75684,-153.3554,19.35425,-0.3579712,407.3785,-424.4449,
-25.90256,147.5418,-15.12451,1.901855,24.13757,-25.97565,
-15.53497,40.96375,20.3186,-7.818909,-0.4962158,-3.390198,
8.945465,-19.07349,-14.73694,-3.64502,-3.633423,2.166748,
-14.74228,77.72522,27.47192,-16.39404,-156.2791,158.7067,
13.18512,-43.28308,-20.83435,-1.286621,-119.0608,121.524,
7.928467,178.7262,-5.480957,109.9231,-444.8254,468.4818,
15.41748,-73.60077,-48.82813,119.545,-104.0923,121.6592,
24.20425,-67.0929,-8.047485,123.4735,-35.59586,57.29858,
-39.25781,-88.55133,45.90759,0,0,0,
90.83557,8.67157,-117.7185,215.332,-22.96661,61.8103,
-46.63544,-69.36188,90.8844,65.2594,-5.67276,-3577.506,
0.3242493,-44.93408,-16.91895,90.26031,5.174103,14.04971,
-21.90628,24.90997,18.26782,53.71033,5.111694,5.504751,
6.561279,-7.418823,58.3374,-3505.163,18.91205,4.067485,
-14.58893,32.23419,8.898926,43.79403,9.030151,3.049529,
3.070831,-12.76703,19.29321,60.22095,11.76773,6.495342,
-7.346344,38.89465,-13.58948,40.52204,7.442932,6.00472,
-3.569794,-5.249023,10.25085,38.02084,10.12619,8.511868,
-6.745148,35.02045,-57.70569,0,0,0,
5.500031,-64.62708,101.6968,57.82335,25.83542,21.80709,
-4.885101,28.82843,-49.02039,26.9112,22.04529,18.44344,
3.712463,-8.479309,20.10803,28.25249,57.84256,42.32846,
1.212311,21.90857,-32.34253,11.62651,39.22012,29.26792,
6.68869,8.8974,4.830933,11.85734,54.66797,42.28708,
-8.914948,24.72992,-45.77026,0.9128952,10.07782,7.463017,
-0.09918213,-0.5325317,0.1922607,0.825386,4.488678,3.716545,
-1.650238,-6.427002,2.529907,0.14328,-31.35986,-20.71196,
0.2754211,1.983643,-6.262207,-2.964134,-28.9447,-19.37477,
-1.839447,-6.282043,4.037476,0,0,0,
6.611633,26.46027,-40.33508,-21.34949,-53.87527,-37.19245,
36.17096,-6.364441,-65.40527,-75.68708,-53.9241,-42.06274,
-9.184265,-7.672119,24.39575,-61.83096,-33.36502,-22.7579,
-26.84326,10.41412,36.37085,-41.67315,-12.61093,-13.91055,
-12.10938,29.06036,-26.66626,-71.3819,-15.69366,-20.49728,
-14.41574,-6.411743,41.75415,-36.35859,-4.21814,-10.23876,
-14.22806,16.72821,-21.68579,-56.66809,-5.728149,-15.69468,
33.99811,-62.21466,51.57166,0,0,0,
-130.6664,193.7561,32.17773,3436.049,0.01174927,3559.565,
130.6664,-193.7561,-32.17773,0,0,0,
-199.5972,123.9029,136.7218,-353.1366,21.97815,-69.36829,
194.2879,-133.5648,-122.7417,-50.9494,0.7090759,6.538696,
-6.130981,-18.67065,-3.201294,-83.41339,-2.321014,9.890137,
7.345581,14.81476,-8.517456,-32.63702,-0.630188,9.190674,
-2.918243,-8.032227,-2.780151,-41.93726,-3.029327,11.87195,
1.599121,-9.814453,8.935547,-33.41705,12.50458,-6.601563,
-2.233124,-9.477234,3.927612,-35.34271,28.29681,-23.00659,
19.87,-45.28046,30.49316,-35.98419,122.753,-127.4899,
2.238464,26.62354,-12.96692,-16.6391,131.297,-135.1651,
5.039215,16.05682,-1.712036,-2.66449,97.83112,-104.1766,
-19.50073,43.44177,-28.15857,0,0,0,
14.80408,8.172607,18.71033,19.6286,-76.12366,65.44434,
-15.52582,19.53735,-14.10217,23.46985,-78.32047,71.61255,
-10.12192,27.79236,-4.751587,52.91321,-89.67651,79.10645,
-1.652527,-15.04974,-6.82373,42.4942,-39.55215,31.77887,
0.7781982,57.80182,-17.65747,113.5574,-61.80145,56.78375,
7.104492,9.024048,-78.65601,201.0693,-48.10501,46.31897,
15.97061,-108.3557,-28.15552,170.7986,-21.7717,24.73846,
18.88123,-27.89612,99.89014,49.20044,-2.01767,18.64502,
13.77411,-30.97687,-20.83435,73.99506,1.125793,25.22125,
-5.619049,-2.432251,17.00439,58.73962,6.386566,18.65326,
-38.3934,62.38251,35.37598,0,0,0,
62.36496,-124.913,-37.18567,-3498.614,18.84308,-3564.674,
-32.79953,62.44507,47.75696,48.43752,13.34564,19.50254,
-21.12427,36.70197,59.14307,50.95976,14.4754,16.42753,
-1.273346,-20.75653,31.49414,69.86017,21.79657,25.36644,
-25.88501,40.01465,-56.95801,23.63169,1.188507,0.9937954,
-3.539276,-2.861023,5.484009,26.65712,1.621399,1.429958,
4.949951,-1.419067,-14.39514,18.55448,1.365204,1.486378,
-8.800507,-6.469727,15.16418,27.26532,2.38205,2.497759,
13.60321,3.063965,-26.42822,13.91388,11.35345,9.172812,
-6.466675,-9.69696,13.0188,21.7976,20.2182,16.95015,
18.97049,23.89069,-37.09412,0,0,0,
-29.94003,6.707764,48.16589,-21.96026,53.39844,37.35316,
18.65387,-11.03363,-55.23376,-1.622314,5.349731,1.880474,
11.28616,4.325867,7.067871,0,0,0,
1.828766,-13.43231,-61.24878,3.756065,-34.5694,-30.15946,
6.370544,13.13934,20.05615,-11.33411,-27.13425,-24.06148,
5.578613,0.2716064,-1.11084,-16.6341,-25.5957,-21.21942,
-13.77792,0.0213623,42.30347,0,0,0,
48.98148,7.058716,-139.4318,-69.65524,-54.08875,-41.52243,
-48.98148,-7.058716,139.4318,0,0,0,
39.08539,11.64246,-153.1525,-87.26185,-22.76443,-15.4844,
-57.4234,59.13849,17.66663,-70.93781,-17.50488,-10.43522,
-4.593658,-14.62708,99.61548,-45.25185,-9.944458,-5.849157,
-19.36188,38.62,31.95801,-66.1184,-11.21689,-8.034526,
3.526306,-24.01276,15.09094,3543.308,-7.395935,3593.013,
-24.68872,18.12134,44.53125,-84.87061,-4.353943,-13.72711,
63.45596,-88.88245,-55.70984,0,0,0,
-95.50629,90.62042,70.43762,-118.7491,5.07431,-30.03448,
13.01804,-85.8078,67.10205,-182.5574,15.76202,-32.96997,
8.371735,-86.22284,-63.60168,-177.1924,39.11957,-59.44153,
79.29993,4.600525,-51.46179,-96.81152,58.18726,-56.10016,
-5.183411,76.80969,-22.4762,0,0,0,
54.46777,-89.56757,49.67651,-62.75513,134.2308,-122.4094,
-54.46777,89.56757,-49.67651,0,0,0,
59.19037,-60.34851,82.37305,-10.73334,130.6528,-119.931,
-54.40216,54.28314,-74.06311,0.2166748,5.851593,-4.750061,
3.207397,-5.859375,8.383179,1.744385,0.8869934,1.351624,
3.814697,-4.933167,7.098389,2.645874,0.6478882,2.566833,
-20.88013,36.86523,-26.35498,6.934814,-65.03296,60.65887,
-0.958252,1.748657,-0.7781982,9.562683,-66.28357,61.01532,
10.02808,-21.75598,3.341675,0,0,0,
5.316162,69.69299,-124.6674,90.1535,-141.4333,124.4058,
13.56812,-30.44891,77.84424,60.87006,-34.28177,30.09583,
18.10608,53.36304,-28.22876,126.7444,-42.59903,50.13367,
40.58685,-15.60516,-123.8098,233.0127,-31.43494,48.52448,
-77.57721,-77.00195,198.8617,0,0,0,
68.05954,-50,-127.6093,160.9995,-9.238281,38.7851,
-68.05954,50,127.6093,0,0,0,
17.9039,-36.73248,-37.68311,66.73462,4.901276,10.06409,
11.57074,-30.5069,44.47937,-3520.972,16.28357,14.9408,
-1.263428,31.90613,29.29382,29.53328,12.23816,-3588.608,
-28.21121,35.33325,-36.09009,0,0,0,
58.97446,-70.99762,78.18604,47.11356,25.21622,25.29163,
82.15027,-92.96722,164.9658,74.01967,53.11295,59.07521,
-143.6317,147.2778,-183.4778,14.92435,4.872742,4.206429,
2.507019,16.68701,-59.67407,0,0,0,
-19.46716,-15.43274,98.27271,24.10152,4.462738,2.218628,
-2.890778,19.45648,-55.15747,9.837494,-1.577911,-3.881111,
-14.74915,4.940796,18.59131,14.69984,-0.78125,-5.282068,
11.8248,-0.5081177,-30.37415,8.088188,2.002258,-1.947851,
-13.56888,2.882385,16.52527,13.52249,8.447571,1.708097,
23.3017,-15.5838,-24.15161,8.999157,22.78412,17.81064,
-2.848816,-1.828003,4.412842,10.54447,30.12283,24.78841,
18.39828,6.072998,-28.1189,0,0,0,
26.62506,-22.67609,-63.0249,-4.512386,-20.18921,-8.736067,
-26.62506,22.67609,63.0249,0,0,0,
14.93454,-5.244446,-52.771,-12.01881,-30.68512,-23.77169,
-7.421875,10.90698,6.729126,-16.56515,-20.07202,-19.29495,
2.852631,0.8529663,-14.328,-21.79388,-23.90518,-22.42499,
-10.3653,-6.515503,60.36987,0,0,0,
-23.33145,76.6037,-321.9666,-140.6841,-45.5719,-57.71136,
10.16312,-46.36688,297.0428,-16.92177,-5.203705,3596.372,
-19.19403,43.37616,-33.05054,-44.79386,-13.94516,-8.555603,
32.36237,-73.61298,57.97424,0,0,0,
-89.73999,192.1646,12.9303,3500.262,-28.38242,-13.75793,
16.41693,-77.56653,48.32458,-76.45905,-12.64603,-11.60492,
-42.2821,3.85437,59.11865,-113.2297,-7.078247,-24.59686,
63.75732,-172.493,98.01025,-197.6981,27.81769,-29.03381,
13.3461,-73.01483,-86.40137,-166.994,45.10605,-50.54504,
54.85153,-43.60962,-34.07593,-131.6678,116.4838,-117.4228,
41.44974,70.75653,-26.00708,-38.078,108.0862,-99.81171,
15.30609,11.13739,-1.495361,-20.79315,117.9506,-108.707,
72.11304,-46.7514,74.20044,-6.551514,118.9049,-102.4829,
-145.2187,135.5225,-144.6045,0,0,0,
127.7489,-107.2098,121.2097,2.434082,31.75903,-10.66254,
-73.66028,106.1096,-93.99109,5.769043,-49.39651,65.85846,
-145.0462,274.5758,-182.8613,42.97546,-260.1482,292.0035,
49.2836,-161.2686,104.4159,41.75812,-85.94223,94.19403,
29.1275,-70.69702,28.93982,18.45764,-23.81927,24.93896,
-10.60562,38.44147,-21.39587,39.41742,-35.12833,35.88989,
3.897095,-9.376526,5.767822,41.09985,-19.12186,15.27893,
0.3379822,-0.2975464,-10.31189,46.5863,-13.43826,8.527527,
3.75061,-20.08972,-5.39856,44.88708,-3.563232,-3.340149,
15.16647,-50.18768,53.62549,0,0,0,
-5.821991,52.53906,-214.859,170.0345,-5.424805,-8.809509,
-0.08468628,-74.86877,69.56177,98.17169,-5.274811,-8.327637,
56.22482,-31.19354,62.2345,86.18408,-4.716644,21.22559,
-25.69962,22.40601,54.87366,32.33826,-0.8454895,9.683838,
