label,Average_energy,Acceleration_mean(3-axis)_x,Acceleration_mean(3-axis)_y,Acceleration_mean(3-axis)_z,Acceleration_std(3-axis)_x,Acceleration_std(3-axis)_y,Acceleration_std(3-axis)_z,Acceleration_max(3-axis)_x,Acceleration_max(3-axis)_y,Acceleration_max(3-axis)_z,Acceleration_min(3-axis)_x,Acceleration_min(3-axis)_y,Acceleration_min(3-axis)_z,Acceleration_pv(3-axis)_x,Acceleration_pv(3-axis)_y,Acceleration_pv(3-axis)_z,Synthetic_acceleration_mean,Synthetic_acceleration_std,
sidecrunch,66.65913,-2.375413,0.3417206,0.9888649,51.88076,13.65991,28.24156,227.7832,42.66968,82.23877,-144.9524,-40.29541,-84.97009,372.7356,82.96509,167.2089,45.82102,39.7865,
sidecrunch,71.6209,-3.985215,0.00205996,0.950527,65.56475,13.38597,27.93592,227.7832,42.66968,103.804,-332.7393,-40.29541,-80.74036,560.5225,82.96509,184.5444,50.63527,52.06911,
sidecrunch,82.85654,1.484146,0.4115868,-0.777779,72.99422,14.59196,36.62377,259.5154,42.66968,125.6531,-332.7393,-40.29541,-129.2847,592.2547,82.96509,254.9378,58.49435,58.85381,
sidecrunch,84.29429,0.6397246,0.2465438,0.0133513,73.08626,13.84262,38.02574,259.5154,42.66968,125.6531,-332.7393,-40.29541,-129.2847,592.2547,82.96509,254.9378,59.49095,58.65555,
sidecrunch,83.51503,-1.126555,-0.129166,0.1622774,72.96246,13.08762,40.5535,259.5154,30.1239,125.6531,-332.7393,-38.78479,-129.2847,592.2547,68.90869,254.9378,57.98156,61.4723,
sidecrunch,80.45919,3.301317,-0.02441428,-0.6291767,63.88256,13.66232,40.00126,259.5154,30.1239,125.6531,-222.2778,-38.78479,-129.2847,481.7932,68.90869,254.9378,54.82748,53.60022,
sidecrunch,98.62447,1.306763,0.3348922,-1.720961,74.97289,15.9275,67.09146,229.7363,44.31763,290.683,-254.4006,-65.88745,-223.938,484.1369,110.2051,514.621,66.22762,77.42461,
sidecrunch,143.3724,-1.308824,-0.7908242,0.6005678,126.6777,27.93641,81.58452,569.1345,129.6021,290.683,-377.7527,-84.36584,-299.0463,946.8872,213.9679,589.7293,97.20386,118.4814,
sidecrunch,146.7206,0.4393,0.09933551,-0.04482126,127.522,28.17675,80.89048,569.1345,129.6021,290.683,-377.7527,-84.36584,-299.0463,946.8872,213.9679,589.7293,100.1933,116.4498,
sidecrunch,199.1573,1.64833,0.2039728,-0.5798715,162.7422,31.08535,108.177,569.1345,129.6021,403.6026,-555.5664,-84.36584,-307.6889,1124.701,213.9679,711.2915,136.1343,143.611,
sidecrunch,174.2942,0.493775,0.2450379,0.373058,158.027,31.08987,94.23748,569.1345,129.6021,403.6026,-555.5664,-84.36584,-307.6889,1124.701,213.9679,711.2915,119.5421,143.2827,
sidecrunch,138.3947,-1.174772,-0.1577758,-0.252991,128.4947,22.4497,82.07462,334.2712,76.58386,403.6026,-555.5664,-76.28174,-307.6889,889.8376,152.8656,711.2915,95.5463,120.9277,
sidecrunch,132.7986,-0.6585666,-0.3210448,0.492458,125.2139,22.56446,82.50105,334.2712,76.58386,403.6026,-555.5664,-76.28174,-307.6889,889.8376,152.8656,711.2915,90.85396,121.4102,
sidecrunch,73.497,-0.3044109,-0.04325855,-0.4217344,69.86588,18.21465,39.81363,289.6912,76.58386,124.9542,-261.5295,-46.0144,-197.9431,551.2207,122.5983,322.8973,49.67968,65.80533,
sidecrunch,60.26178,-0.2397914,0.4803849,-0.5130961,57.2071,15.80863,26.98712,276.8982,57.26929,92.04254,-261.5295,-45.07446,-80.45044,538.4277,102.3438,172.493,40.9306,50.75537,
sidecrunch,59.56163,0.5401613,-0.1149745,0.9369847,41.2576,16.54295,30.77405,127.4231,57.26929,92.04254,-157.2632,-45.07446,-96.68427,284.6863,102.3438,188.7268,39.32858,37.11261,
sidecrunch,51.20411,-0.1434324,0.1451495,0.2180092,35.49111,14.56793,26.20068,87.02393,36.24573,78.30658,-99.75586,-39.7583,-96.68427,186.7798,76.00403,174.9908,34.52393,31.08869,
sidecrunch,61.71526,-0.1483919,0.1686098,0.1507758,38.62989,14.28032,33.99263,113.7634,36.24573,82.92542,-99.75586,-39.7583,-120.2728,213.5193,76.00403,203.1982,41.1532,34.03209,
sidecrunch,88.76632,0.3188327,-0.4167171,0.6031796,69.46458,16.28612,57.80005,284.79,51.32751,236.2747,-302.1057,-41.27502,-261.6638,586.8958,92.60253,497.9385,59.28801,70.12119,
sidecrunch,88.24044,-1.82663,0.01297026,0.0958823,72.54192,14.55272,57.32505,284.79,51.32751,236.2747,-302.1057,-41.36047,-261.6638,586.8958,92.68798,497.9385,59.42829,72.33186,
sidecrunch,125.053,-0.3068562,-0.08113831,1.73521,93.12258,19.84949,76.13682,284.79,51.32751,253.8239,-302.1057,-76.88293,-261.6638,586.8958,128.2104,515.4877,83.45181,88.89062,
sidecrunch,129.3652,1.406783,0.173798,-1.165906,94.98984,20.61114,77.38344,284.79,51.32751,253.8239,-302.1057,-76.88293,-261.6638,586.8958,128.2104,515.4877,86.31973,89.3776,
sidecrunch,106.4491,-2.790452,-0.5406187,0.9259413,77.80715,19.8513,62.67978,200.2075,44.52515,253.8239,-253.7476,-76.88293,-158.2306,453.9551,121.4081,412.0545,70.92056,73.18464,
sidecrunch,109.5708,0.1522818,-0.6534575,1.684494,76.59861,19.5004,68.82878,200.2075,44.52515,253.8239,-253.7476,-76.88293,-232.4081,453.9551,121.4081,486.232,73.02328,75.20574,
sidecrunch,75.17262,2.414551,0.8683015,-3.863774,47.61939,14.14524,49.71781,185.0952,32.08008,140.7074,-143.2983,-33.23975,-232.4081,328.3935,65.31982,373.1155,49.83968,49.77021,
sidecrunch,82.93004,-0.1210018,-0.3575513,0.3646284,55.78376,14.75848,49.32765,189.4897,32.08008,140.7074,-143.2983,-33.71887,-232.4081,332.788,65.79895,373.1155,55.32112,51.98756,
sidecrunch,84.29018,0.1332094,-0.1559448,0.5804259,56.69031,14.09709,47.5288,189.4897,32.08008,140.7074,-136.5295,-42.72156,-232.4081,326.0192,74.80164,373.1155,56.78342,49.47248,
sidecrunch,78.34908,1.343842,0.751877,-2.286776,51.97227,13.52394,41.42452,189.4897,32.08008,142.5339,-136.5295,-42.72156,-129.2953,326.0192,74.80164,271.8292,52.48638,43.044,
