hips_JNTa_x,hips_JNTa_y,hips_JNTa_z,hips_JNTw_x,hips_JNTw_y,hips_JNTw_z,label,
-22.87598,3.521729,24.36218,-2.185688,0.8778381,-5.723753,sidetoside,
-3.448486,-1.141357,2.740479,-2.174349,0.8972168,-5.446091,sidetoside,
68.9209,5.297852,-23.82507,-3.806677,-0.3408813,-7.011442,sidetoside,
-16.93726,-15.44037,4.806519,-3.748531,-0.7757568,-6.454811,sidetoside,
-124.4263,-16.4505,38.62,-2.938347,-1.41449,-4.873285,sidetoside,
-55.09033,-5.558777,17.276,-2.64534,-1.770935,-4.273243,sidetoside,
-17.52319,-11.20148,5.078125,-3.112679,-2.303467,-5.222731,sidetoside,
-16.02173,-14.56909,-0.982666,-4.669414,-3.631134,-7.96195,sidetoside,
-2.978516,-30.02625,-3.613281,-7.239404,-4.445953,-11.15104,sidetoside,
2.947998,14.78577,12.56104,-4.256358,-2.188721,-6.141052,sidetoside,
9.136963,-28.70178,-19.46106,-8.906371,-4.770813,-10.44578,sidetoside,
48.71826,-59.38721,-56.57959,-19.24711,-10.44952,-16.53125,sidetoside,
-1.373291,40.09399,28.40881,-9.098873,-6.74469,-5.271831,sidetoside,
-11.79199,27.63977,17.08069,-3.668078,-4.874878,0.4037166,sidetoside,
1.385498,6.970215,-4.272461,-3.273337,-5.035095,0.7717013,sidetoside,
25.07935,37.20093,-35.80627,-2.019233,-7.589111,2.95517,sidetoside,
-27.22168,15.17334,26.00708,-0.9298808,-5.166473,1.64093,sidetoside,
-1.849365,67.42401,-18.42651,0.8096316,-7.095337,0.3951693,sidetoside,
3.942871,79.92249,-36.06262,1.8396,-7.865143,-2.51121,sidetoside,
-17.34009,119.191,-17.66357,3.268863,-4.384155,-8.844177,sidetoside,
-2.856445,-21.92688,9.094238,3.079058,-4.086761,-8.283898,sidetoside,
-8.874512,-104.9438,50.01221,1.122747,1.313934,-6.522206,sidetoside,
6.933594,52.62146,-38.30872,1.559803,2.727051,-9.855971,sidetoside,
-13.41553,-172.8973,64.98718,0.2877247,1.823578,-3.000299,sidetoside,
18.34106,49.54834,-100.7965,1.079767,6.039581,3590.079,sidetoside,
-4.321289,-84.53369,14.85901,0.8040214,3.454895,-6.431885,sidetoside,
4.760742,-14.49585,-18.34106,0.9814668,3.630371,-6.938477,sidetoside,
-25.94604,-234.14,-315.7043,3.737303,7.380219,-14.83276,sidetoside,
-6.567383,98.12012,202.2736,2.34879,3.80127,-7.781372,sidetoside,
-12.21313,5.673218,18.50586,2.601616,3.307648,-6.88324,sidetoside,
-97.63794,-91.31622,-72.97058,5.615916,2.902527,-6.653748,sidetoside,
38.8855,156.7749,184.4238,4.192405,1.345825,-2.827454,sidetoside,
8.685303,27.34833,32.42493,3.845916,1.062622,-2.127991,sidetoside,
14.25171,30.67627,53.7384,3.8028,0.9281921,-1.191101,sidetoside,
15.00244,26.09253,44.2749,3.460469,0.7649231,-0.3948975,sidetoside,
44.9707,24.33777,146.524,8.043633,0.4586792,1.055603,sidetoside,
72.63184,21.60645,70.25452,5.662246,-0.6835938,2.218933,sidetoside,
28.26538,1.605225,-26.80359,3.605952,-0.2728271,2.613525,sidetoside,
25.90942,-2.56958,-58.29773,0.3953266,0.2861023,2.887878,sidetoside,
12.90283,-4.971313,-12.19482,-0.03387928,0.5497742,3.251648,sidetoside,
56.46362,-10.70557,-21.2677,-1.345797,1.343536,4.716492,sidetoside,
