r_shoulder_JNTa_x,r_shoulder_JNTa_y,r_shoulder_JNTa_z,r_shoulder_JNTw_x,r_shoulder_JNTw_y,r_shoulder_JNTw_z,
0.02991781,-0.006175041,-0.01302958,-10.79352,0.4946175,-1.190834,
-0.02640635,-0.2162457,0.5218148,-2.888079,0.1347438,-0.310297,
0.3390111,0.8237362,-1.851296,-25.9485,-0.867908,-6.429615,
-0.04505888,-0.6687164,0.7459402,-15.79071,-0.9570515,-4.691682,
0.1984779,-0.1545787,0.7096291,-5.308206,-1.9145,-4.81925,
0.04369989,-0.2197385,-0.1630425,3594.396,3597.923,-5.251803,
-0.1814246,-0.06537437,0.3582716,-1.750488,-1.808777,-4.440231,
0.314198,-0.3482461,-0.08878708,-3.223572,-3.212585,-7.906251,
-0.1346394,-0.03912449,0.4464865,-0.6408691,-2.713318,-8.205361,
-0.01767501,-0.06566048,0.1928449,-0.1846313,-2.596741,-8.226535,
0.1227487,-0.001347065,0.3425241,4.300537,-4.775085,-9.787994,
0.01835451,-0.122273,0.2556205,-3594.031,-5.967407,3588.799,
-0.5166095,0.6088972,-0.4068017,3.449188,-2.132568,-1.833801,
-0.0876341,0.1220345,0.04959106,4.801632,-2.042542,0.6039429,
-0.1384676,0.08935928,-0.213778,2.803115,-0.5099487,-3598.303,
-0.09061359,0.04954338,-0.006818771,3.193103,-0.06286621,2.934938,
-0.07951297,0.06927252,-0.07597208,2.523328,0.4568481,3.239631,
-0.06101653,0.05438328,-0.09114742,1.550868,0.9613037,3.203897,
-0.1041535,0.3994703,-0.2569914,-0.02128601,1.745911,4.326838,
-0.2167467,0.3968477,-0.145793,-1.87526,2.618103,5.584913,
-0.1010422,-0.07483959,0.2316475,-2.275927,2.774048,5.949794,
0.2972566,-0.3816843,0.2380371,-2.203046,1.949463,4.149046,
-0.0278309,-0.181973,0.165236,-2.211856,2.043762,4.246325,
-0.06056987,-0.2907634,0.1283288,-2.400868,2.730713,5.24864,
0.1136482,-0.2467513,-0.292623,-1.968091,2.399597,4.290974,
0.1043472,-0.01403093,0.1931429,-1.04445,2.488098,3.086534,
-0.004919618,-0.1081824,0.06546974,-0.6996381,2.615967,3.340526,
0.093887,-0.05373955,0.1173854,4.64433,1.081238,2.358127,
0.1100667,0.07613897,-0.1925588,2.398648,0.553894,1.220655,
0.02404079,-0.01542568,0.2799273,8.225945,-1.352844,2.340264,
0.0596188,0.1215219,-0.2753019,6.323426,-1.526184,1.47778,
-0.01656041,0.03972054,0.1136422,7.174633,-0.8972168,1.989503,
-0.009004772,-0.1059771,0.1915455,10.71187,-1.325073,2.947192,
0.01840889,0.04444122,-0.03099442,9.620733,-0.7983398,2.334423,
0.002073497,-0.04094839,0.05316734,10.45821,-0.7955933,2.522149,
-0.01170561,-0.1474619,0.4941225,18.75945,-0.1330566,2.366238,
-0.02592131,-0.03168583,-0.04094839,18.00819,0.1925659,2.122364,
0.03905743,0.2432227,-0.4890084,9.688406,0.6204224,1.145401,
0.0229463,0.1076102,-0.209415,6.112213,0.715332,0.7088709,
-0.03904849,0.06706715,-0.08676052,4.200096,1.080017,1.080132,
-0.02844557,0.04832745,-0.06011724,2.843142,1.350403,1.35128,
-0.004652143,-0.02653599,-0.08009672,1.392584,1.655579,1.344957,
0.01264215,-0.03327131,-0.1233339,-0.5856705,1.532288,0.9672737,
-0.007891655,0.1370668,-0.3378272,-5.319166,1.575928,0.806303,
-0.03169253,0.1706243,-0.4755139,-11.78298,-3598.614,0.4791737,
0.002114475,-0.02002716,0.02808571,-11.2334,0.9731941,0.2736139,
0.07952079,-0.02949238,0.1166582,-9.449263,0.1076998,-0.2500772,
0.01645237,-0.00629425,-0.03623962,-9.883118,-0.005311817,-0.3257847,
0.08371249,0.07414818,-0.1457691,-11.89351,-0.6057677,-0.7735157,
0.009103119,-0.06901026,0.1169801,-10.15692,-0.5855108,-0.9008074,
0.1117244,0.1295805,-0.1797557,-12.06544,3598.68,-2.868271,
-0.06015226,-0.1628876,0.3268838,-7.98394,-0.8612061,-1.899552,
0.5721346,0.886178,-1.063883,-20.52253,-6.078491,-13.28207,
-0.3062867,-0.9064436,0.7818103,-11.18844,-3.319397,-7.252073,
0.1591198,-0.2250433,0.2336979,3591.188,-4.420166,-7.860575,
0.005400553,-0.3338695,-0.004053116,-6.309204,-4.086304,-6.737649,
-0.1310602,0.04914999,0.4327774,-2.227173,-2.756042,-3.719454,
0.2153289,-0.2970576,0.03956556,-3.375854,-4.159851,-5.670209,
-0.1359686,0.126946,0.2904296,-0.3540039,-3.291321,-3.713877,
-0.0382334,-0.033319,0.09112358,0.01953125,-3.197021,-3.510587,
0.06218553,-0.1229525,0.2518892,4.025269,-4.567566,-3.251317,
-0.1269251,0.004589558,0.1001239,4.886169,-4.494019,-2.750278,
-0.28129,0.2506971,-0.05124807,4.903564,-3.453369,-0.8030868,
-0.1642432,0.3009439,-0.2850652,-3597.359,-1.399536,0.4434156,
-0.09229109,0.07002354,0.007331371,3.546903,-0.8609009,1.052793,
0.01267344,0.05404949,-0.1389742,2.020797,-0.00213623,0.8186483,
-0.06773397,0.0977993,-0.04546642,2.412934,0.4702759,1.216898,
-0.03817938,0.1081109,-0.1123667,1.85155,1.10321,1.286449,
0.096393,-0.1173973,0.02981424,0.9896374,0.5905151,0.6792474,
0.1141813,-0.1252413,0.02626181,0,0,0,
-1.708627,3.070986,-0.204277,4.169409,13.04016,13.74895,
1.088104,-2.417862,0.4236579,1.222223,3.162231,5.328658,
-0.1205016,-0.2771974,0.2889514,1.749057,3.661804,6.292586,
0.1758259,-0.4993558,-0.2950549,2.336255,2.954407,5.384197,
0.05830191,-0.1122117,0.1051307,2.456872,2.866821,4.928985,
0.1412205,-0.0746727,0.158298,4.057343,3.10791,3.974509,
0.03031231,-0.1101136,-0.009131432,3.763688,2.947998,3.760781,
0.03271401,-0.145936,0.771594,18.09494,3.974915,2.217016,
0.1485661,-0.08215904,-0.5896449,12.32875,2.712097,1.37754,
0.1196817,0.3108501,0.1009107,12.12196,0.1641846,-0.4058981,
0.02587289,0.02020597,-0.0864625,10.6062,-0.001831055,-0.5173016,
0.03372133,-0.101018,0.1295924,13.31879,-0.3396606,-0.266428,
-0.002481043,0.09762049,-0.2317548,9.41143,-0.2606201,-0.2066469,
0.05283952,-0.1333237,0.2734184,13.61657,-0.5209351,-0.08289337,
-0.01171231,0.06756783,-0.1455069,11.19143,-0.4751587,-0.02904892,
0.120692,-0.02336502,0.3282189,15.87071,-1.060486,-0.469203,
-0.03883392,0.07777214,-0.1836181,13.06384,-0.9979248,-0.5010986,
-0.05860031,0.1254916,-0.08869171,11.10416,-1.083984,-0.6123114,
-0.08659959,0.2729297,-0.4882216,2.93869,-0.5532837,-0.3846216,
-0.01202524,-0.04214048,-0.2390981,0.3161812,-0.4281616,-0.5577469,
-0.01379922,-0.03272295,-0.2086043,-1.943951,-0.390625,-0.8067226,
0.02074018,0.11549,-0.1240253,-4.553108,-0.4898071,-1.081405,
