a_x,a_y,a_z,g_x,g_y,g_z,label,
0.04,-0.15,1.95,-0.07,0.04,0.03,reverse,
0.03,-0.17,1.95,-0.07,0.04,0.03,reverse,
0.06,-0.19,1.9,-0.07,0.03,0.03,reverse,
0.06,-0.17,1.93,-0.07,0.03,0.03,reverse,
0.04,-0.15,1.91,-0.07,0.03,0.03,reverse,
0.05,-0.16,1.99,-0.07,0.04,0.03,reverse,
0.04,-0.16,1.91,-0.07,0.03,0.03,reverse,
0.04,-0.2,1.97,-0.07,0.04,0.03,reverse,
0.06,-0.16,1.9,-0.07,0.03,0.03,reverse,
0.01,-0.12,1.98,-0.07,0.04,0.03,reverse,
-0.03,-0.1,1.99,-0.07,0.03,0.02,reverse,
0.01,-0.09,1.85,-0.07,0.03,0.03,reverse,
-0.08,-0.11,1.99,-0.07,0.04,0.03,reverse,
-0.04,-0.09,1.91,-0.07,0.03,0.03,reverse,
-0.04,-0.11,1.93,-0.07,0.04,0.03,reverse,
-0.06,-0.08,1.91,-0.07,0.03,0.03,reverse,
-0.08,-0.1,1.92,-0.07,0.04,0.03,reverse,
-0.05,-0.08,1.92,-0.07,0.04,0.02,reverse,
-0.05,-0.07,1.91,-0.07,0.04,0.03,reverse,
-0.04,-0.1,1.9,-0.07,0.04,0.03,reverse,
-0.04,-0.1,1.94,-0.07,0.04,0.03,reverse,
-0.03,-0.1,1.9,-0.07,0.04,0.03,reverse,
-0.07,-0.08,1.93,-0.07,0.03,0.03,reverse,
-0.06,-0.1,1.94,-0.07,0.04,0.03,reverse,
-0.05,-0.08,1.92,-0.07,0.04,0.03,reverse,
-0.05,-0.09,1.92,-0.07,0.04,0.03,reverse,
-0.04,-0.11,1.95,-0.07,0.04,0.02,reverse,
-0.03,-0.09,1.88,-0.07,0.04,0.03,reverse,
-0.06,-0.07,1.91,-0.07,0.04,0.03,reverse,
-0.05,-0.07,1.94,-0.07,0.04,0.03,reverse,
-0.06,-0.08,1.93,-0.07,0.04,0.03,reverse,
-0.08,-0.07,1.9,-0.07,0.04,0.03,reverse,
-0.06,-0.06,1.91,-0.07,0.04,0.03,reverse,
-0.09,-0.05,1.92,-0.07,0.04,0.02,reverse,
-0.09,-0.08,1.96,-0.07,0.04,0.03,reverse,
-0.08,-0.07,1.92,-0.07,0.04,0.03,reverse,
-0.06,-0.05,1.93,-0.07,0.04,0.03,reverse,
-0.07,-0.06,1.92,-0.07,0.03,0.03,reverse,
-0.07,-0.06,1.91,-0.07,0.04,0.03,reverse,
