a_x,a_y,a_z,g_x,g_y,g_z,label,
0.52,-1.31,-0.02,-1.05,-0.56,0.14,sidecrunch,
0.51,-0.84,1.07,-1.08,-0.33,0.11,sidecrunch,
0.38,-0.7,1.53,-1.3,-0.29,0.01,sidecrunch,
0.19,-0.51,1.91,-1.7,-0.46,-0.09,sidecrunch,
0.14,-0.12,2.09,-2.14,-0.79,-0.15,sidecrunch,
0.4,0.55,2.22,-2.51,-0.99,-0.14,sidecrunch,
0.65,1.09,2.36,-2.71,-0.98,-0.13,sidecrunch,
0.97,1.85,2.41,-3.01,-0.97,-0.16,sidecrunch,
1.36,2.6,2.61,-3.27,-0.94,-0.22,sidecrunch,
1.44,3.17,2.66,-3.47,-0.88,-0.29,sidecrunch,
1.47,4,2.6,-3.71,-0.73,-0.37,sidecrunch,
1.81,4.6,2.97,-3.89,-0.47,-0.44,sidecrunch,
1.51,5.16,2.93,-4,-0.37,-0.56,sidecrunch,
1.25,6.06,3.54,-4.05,-0.28,-0.64,sidecrunch,
1.64,7.21,4.95,-3.8,-0.6,-0.61,sidecrunch,
1.9,8.36,5.75,-3.36,-0.96,-0.62,sidecrunch,
2.52,9.23,5.37,-2.88,-1.02,-0.7,sidecrunch,
2.41,9.15,5.06,-2.78,-0.65,-1.03,sidecrunch,
1.84,8.34,4.58,-2.76,-0.42,-1.2,sidecrunch,
1.37,7.8,4.29,-2.72,-0.61,-1.23,sidecrunch,
1.36,7.79,3.84,-2.65,-0.72,-1.18,sidecrunch,
1.77,7.78,2.95,-2.83,-0.97,-1.25,sidecrunch,
2.14,8.05,2.66,-3.12,-1.16,-1.39,sidecrunch,
2.28,8.07,2.43,-3.28,-1.31,-1.52,sidecrunch,
2.55,8.17,1.94,-3.38,-1.6,-1.64,sidecrunch,
3.13,8.18,1.09,-3.4,-1.82,-1.71,sidecrunch,
3.71,8.07,0.3,-3.46,-1.81,-1.82,sidecrunch,
4.33,8.05,-0.64,-3.7,-1.86,-2.1,sidecrunch,
4.9,8.34,-0.87,-3.67,-1.91,-2.22,sidecrunch,
5.37,7.99,-1.55,-3.43,-1.58,-2.25,sidecrunch,
4.87,8.12,-1.26,-3.06,-1.1,-2.19,sidecrunch,
4.45,7.5,-0.92,-2.31,-0.82,-1.82,sidecrunch,
4.21,6.78,-1.32,-1.54,-0.54,-1.34,sidecrunch,
4.13,5.95,-1.8,-1.12,-0.39,-0.95,sidecrunch,
4.43,5.29,-1.97,-0.69,-0.27,-0.44,sidecrunch,
4.71,5.03,-1.84,-0.3,-0.11,-0.04,sidecrunch,
4.64,4.69,-1.6,0.09,0.11,0.26,sidecrunch,
4.45,4.25,-1.74,0.24,0.17,0.37,sidecrunch,
4.23,3.93,-1.58,0.26,0.13,0.41,sidecrunch,
3.88,3.7,-1.24,0.28,0.09,0.42,sidecrunch,
3.56,3.28,-1.1,0.33,0.06,0.43,sidecrunch,
3.17,2.97,-0.86,0.48,0.14,0.52,sidecrunch,
2.71,2.76,-0.47,0.78,0.3,0.71,sidecrunch,
2.4,2.6,-0.01,1.11,0.47,0.89,sidecrunch,
2.1,2.57,0.51,1.54,0.67,1.08,sidecrunch,
