a_x,a_y,a_z,g_x,g_y,g_z,label,
0.79,0.4,1.57,-0.54,0.47,0.44,reverse,
0.74,0.43,1.52,-0.62,0.62,0.5,reverse,
0.82,0.28,1.56,-0.72,0.82,0.55,reverse,
1.99,-0.28,2.04,-0.79,1.08,0.59,reverse,
0.31,1.12,1.63,-0.74,1.36,0.43,reverse,
0.78,0.87,3.09,-0.76,1.3,0.31,reverse,
-0.45,1.42,2.38,-0.69,1.03,0.52,reverse,
-0.56,1.46,3.13,-0.6,0.61,0.46,reverse,
-0.64,1.59,2.86,-0.47,0.46,0.46,reverse,
-0.65,1.8,2.62,-0.4,0.34,0.49,reverse,
-0.62,1.74,1.93,-0.31,0.4,0.51,reverse,
-1.29,1.19,1.5,-0.37,0.49,0.54,reverse,
-1.6,0.94,1.62,-0.45,0.62,0.64,reverse,
-1.03,1.08,2.52,-0.42,0.56,0.68,reverse,
-1.52,1.9,3.55,-0.05,0.32,0.63,reverse,
-1.16,1.91,3.55,0.42,-0.29,0.95,reverse,
-0.76,1.99,3.29,0.59,-0.51,1.1,reverse,
0.03,2.3,1.83,0.71,-0.62,1.41,reverse,
0.37,1.74,0.14,0.75,-0.42,1.69,reverse,
-0.24,0.64,-0.76,0.68,-0.32,1.91,reverse,
0,1.03,-1.16,0.28,-0.61,1.95,reverse,
0.14,1.31,0.33,0,-0.79,2.01,reverse,
-1.22,0.08,0.94,0.12,-0.49,2.38,reverse,
-0.79,-0.1,0.38,0.21,-0.37,2.76,reverse,
-0.33,0.07,0.19,0.11,-0.31,2.96,reverse,
0.1,-0.07,-0.14,0.06,0.13,3.05,reverse,
-0.18,-0.43,0.61,-0.24,0.36,3.08,reverse,
0.03,-0.38,1.51,-0.46,0.26,3.14,reverse,
0.44,0.16,2.42,-0.51,-0.26,3.05,reverse,
1.74,-0.24,2.56,-0.33,-0.47,2.75,reverse,
2.01,0.12,2.41,0.19,-0.05,2.22,reverse,
2,-0.58,1.78,0.27,0.2,1.85,reverse,
1.66,-0.62,1.86,0.3,0.39,1.37,reverse,
0.97,-0.92,0.78,0.14,0.51,1.08,reverse,
-0.24,-1.16,0.33,-0.35,0.46,0.85,reverse,
-0.91,-1.05,0.76,-0.9,0.44,0.98,reverse,
-1.09,0.02,1.78,-1.34,0.72,1.36,reverse,
-0.82,1.06,3.32,-1.3,1.15,1.57,reverse,
-0.12,2.11,4.78,-0.88,1.38,1.53,reverse,
-0.09,2.56,3.53,-0.49,1,1.03,reverse,
-0.72,1.82,2.47,-0.43,0.49,0.4,reverse,
-1.73,2.21,2.93,-0.49,0.14,0.2,reverse,
-1.4,2.56,3.08,-0.54,-0.14,0.04,reverse,
-2.3,2.18,3.03,-0.33,-0.21,0.01,reverse,
-3.07,1.69,1.67,-0.23,-0.38,0.3,reverse,
-2.8,1.77,1.62,-0.26,-0.33,0.71,reverse,
-0.48,1.66,1.47,0.01,-0.39,1.26,reverse,
0.62,1.65,0.92,-0.19,0.23,1.46,reverse,
0.74,1.54,0.98,0.75,0.27,1.72,reverse,
-0.07,1.9,0.78,1.76,-0.87,1.61,reverse,
-0.13,1.71,0.94,2.63,-1.94,1.21,reverse,
-0.21,1.37,1.14,3.25,-2.77,0.61,reverse,
0.47,0.42,1.69,3.57,-3.37,0.23,reverse,
2.2,-2.71,-2.52,1.08,0.46,-0.14,reverse,
0.65,0.19,1.42,-1.33,1.72,0.19,reverse,
0.15,2.93,7.52,0.99,3.63,-0.24,reverse,
0.79,-0.16,3.21,1.32,1.99,0.08,reverse,
-0.86,0.95,5.82,-0.3,0.73,0.49,reverse,
-0.75,1.09,1.62,-0.59,0.03,0.06,reverse,
0.6,0.18,1.13,0.14,-0.08,0.05,reverse,
-0.66,-0.92,1.25,-0.29,0.73,0.35,reverse,
-1.4,-0.61,1.13,-0.27,1.01,0.56,reverse,
0.87,0.6,2.28,-0.13,1.05,0.87,reverse,
0.48,1.48,2.3,-0.16,0.85,0.68,reverse,
-0.23,-0.21,2.39,-0.35,0.78,0.36,reverse,
1.05,0.26,1.88,-0.36,0.31,0.74,reverse,
-0.39,-0.04,1.58,-0.45,0.86,0.7,reverse,
-0.57,0.69,1.96,-0.26,0.78,0.92,reverse,
-0.64,-0.39,1.15,-0.48,0.64,1.01,reverse,
-0.47,0.48,1.04,-0.95,0.36,1.31,reverse,
-0.21,0.7,1.69,-0.95,0.7,1.57,reverse,
-0.06,1.21,1.87,-1.12,0.79,1.68,reverse,
0.21,1.86,1.8,-1.03,0.79,1.27,reverse,
-0.2,1.21,1.66,-0.71,0.77,0.71,reverse,
-0.8,1.17,2.69,-0.45,0.64,0.32,reverse,
2.34,-0.05,3.35,-0.07,0.64,0.11,reverse,
2.97,1.56,0.33,0.21,0.98,-0.19,reverse,
-0.52,2.8,-0.32,0.16,1.77,-0.94,reverse,
0.13,0.25,-0.34,1.75,-0.44,-0.87,reverse,
-3.68,-3.34,0.06,1.14,-0.59,-1.05,reverse,
-1.84,0.64,3.74,-0.58,-1.2,-0.64,reverse,
0.86,-0.27,1.62,0.07,-0.07,-0.06,reverse,
0.08,-0.1,1.3,-0.44,-0.69,-0.25,reverse,
0.62,0.84,1.23,-1.05,-1.79,-0.36,reverse,
0.83,0.71,0.82,-0.9,-2.51,-0.36,reverse,
2.45,2.81,6.4,0.05,-0.62,0.09,reverse,
1.16,0.72,1.01,0.62,0.76,0.14,reverse,
1.75,0.54,0.95,0.62,0.42,0.25,reverse,
1.34,0.59,-3.1,1.08,-1.72,0.06,reverse,
-0.46,3.06,5.13,2.29,-4.29,-0.41,reverse,
-3.02,-1.8,9.67,5.43,-1.36,0.08,reverse,
-2.22,-0.68,10.22,-0.75,-0.43,-0.4,reverse,
0.36,-1.75,3.71,0.07,0.28,-1.38,reverse,
0.09,-2,2.21,0.13,0.04,-1.82,reverse,
-0.06,-1.67,2.07,0.11,0.01,-1.49,reverse,
0.31,-1.56,2.1,0.02,0.02,-0.69,reverse,
0.67,-1.45,2.15,-0.05,0.03,-0.09,reverse,
0.66,-1.32,2.13,-0.06,0.04,0.02,reverse,
0.18,-1.07,1.97,-0.06,0.04,0.03,reverse,
-0.14,-0.32,1.92,-0.06,0.04,0.02,reverse,
-0.08,0.3,1.89,-0.06,0.04,0.03,reverse,
0,0.25,1.94,-0.06,0.03,0.02,reverse,
0,0.31,1.95,-0.06,0.03,0.03,reverse,
-0.02,0.3,1.96,-0.06,0.04,0.03,reverse,
0.02,0.3,1.93,-0.06,0.03,0.03,reverse,
0.06,0.33,1.94,-0.06,0.04,0.03,reverse,
0.01,0.28,1.91,-0.07,0.04,0.03,reverse,
0.02,0.32,1.91,-0.06,0.04,0.02,reverse,
0.04,0.31,1.96,-0.07,0.04,0.03,reverse,
0.02,0.31,1.95,-0.06,0.04,0.03,reverse,
0.02,0.32,1.93,-0.06,0.04,0.03,reverse,
0.01,0.29,1.91,-0.07,0.04,0.02,reverse,
-0.01,0.27,1.92,-0.06,0.04,0.03,reverse,
0.02,0.28,1.91,-0.06,0.04,0.03,reverse,
0.01,0.28,1.98,-0.06,0.04,0.03,reverse,
0.01,0.26,1.92,-0.06,0.04,0.02,reverse,
0.02,0.27,1.93,-0.06,0.04,0.02,reverse,
0,0.27,1.96,-0.07,0.04,0.03,reverse,
0,0.28,1.95,-0.07,0.04,0.03,reverse,
-0.01,0.26,1.92,-0.07,0.04,0.02,reverse,
-0.03,0.28,1.95,-0.06,0.04,0.02,reverse,
-0.01,0.24,1.94,-0.06,0.04,0.02,reverse,
-0.02,0.24,1.92,-0.07,0.04,0.03,reverse,
0,0.24,1.97,-0.06,0.04,0.02,reverse,
-0.01,0.27,1.95,-0.07,0.04,0.03,reverse,
0.02,0.22,1.91,-0.06,0.04,0.02,reverse,
-0.04,0.26,1.94,-0.06,0.04,0.02,reverse,
0.01,0.27,1.92,-0.06,0.04,0.02,reverse,
-0.01,0.21,1.97,-0.06,0.04,0.03,reverse,
-0.03,0.24,1.9,-0.06,0.04,0.02,reverse,
-0.04,0.21,1.89,-0.06,0.04,0.02,reverse,
-0.04,0.23,1.94,-0.06,0.04,0.03,reverse,
0,0.25,1.93,-0.07,0.04,0.02,reverse,
-0.01,0.22,1.94,-0.06,0.04,0.03,reverse,
-0.04,0.21,1.93,-0.06,0.04,0.03,reverse,
-0.02,0.19,1.95,-0.06,0.04,0.02,reverse,
-0.04,0.2,1.95,-0.06,0.04,0.03,reverse,
-0.03,0.39,2.07,-0.06,0.04,0.03,reverse,
0.21,0.04,1.8,-0.06,0.03,0.03,reverse,
-0.12,0.26,2.27,-0.06,0.04,0.02,reverse,
-0.14,0.25,1.97,-0.06,0.04,0.02,reverse,
-0.1,0.18,2.08,-0.07,0.04,0.02,reverse,
-0.03,0.2,1.86,-0.06,0.04,0.02,reverse,
-0.03,0.2,1.98,-0.06,0.04,0.02,reverse,
-0.06,0.16,1.88,-0.06,0.04,0.02,reverse,
-0.08,0.21,1.94,-0.06,0.04,0.02,reverse,
